[[0, 0, 0, 0, 2.0],
 [0, 0, 0, 1, 2.0],
 [0, 0, 0, 2, 2.0],
 [0, 0, 0, 3, 2.0],
 [0, 0, 0, 4, 2.0],
 [0, 0, 1, 0, 2.0],
 [0, 0, 1, 1, 2.0],
 [0, 0, 1, 2, 2.0],
 [0, 0, 1, 3, 2.0],
 [0, 0, 1, 4, 2.0],
 [0, 0, 2, 0, 2.0],
 [0, 0, 2, 1, 2.0],
 [0, 0, 2, 2, 2.0],
 [0, 0, 2, 3, 2.0],
 [0, 0, 2, 4, 2.0],
 [0, 0, 3, 0, 2.0],
 [0, 0, 3, 1, 2.0],
 [0, 0, 3, 2, 2.0],
 [0, 0, 3, 3, 2.0],
 [0, 0, 3, 4, 2.0],
 [0, 0, 4, 0, 2.0],
 [0, 0, 4, 1, 2.0],
 [0, 0, 4, 2, 2.0],
 [0, 0, 4, 3, 2.0],
 [0, 0, 4, 4, 2.0],
 [0, 1, 0, 0, 4.0],
 [0, 1, 0, 1, 4.5],
 [0, 1, 0, 2, 5.0],
 [0, 1, 0, 3, 5.5],
 [0, 1, 0, 4, 6.0],
 [0, 1, 1, 0, 5.0],
 [0, 1, 1, 1, 5.5],
 [0, 1, 1, 2, 6.0],
 [0, 1, 1, 3, 6.5],
 [0, 1, 1, 4, 7.0],
 [0, 1, 2, 0, 6.0],
 [0, 1, 2, 1, 6.5],
 [0, 1, 2, 2, 7.0],
 [0, 1, 2, 3, 7.5],
 [0, 1, 2, 4, 8.0],
 [0, 1, 3, 0, 7.0],
 [0, 1, 3, 1, 7.5],
 [0, 1, 3, 2, 8.0],
 [0, 1, 3, 3, 8.5],
 [0, 1, 3, 4, 9.0],
 [0, 1, 4, 0, 8.0],
 [0, 1, 4, 1, 8.5],
 [0, 1, 4, 2, 9.0],
 [0, 1, 4, 3, 9.5],
 [0, 1, 4, 4, 10.0],
 [0, 2, 0, 0, 6.0],
 [0, 2, 0, 1, 7.0],
 [0, 2, 0, 2, 8.0],
 [0, 2, 0, 3, 9.0],
 [0, 2, 0, 4, 10.0],
 [0, 2, 1, 0, 8.0],
 [0, 2, 1, 1, 9.0],
 [0, 2, 1, 2, 10.0],
